DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=22665, Duration=0.050467, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B19E8D43472CA8B277E8CCA8993996A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.41, Duration=6.970506, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B19E8D43472CA8B277E8CCA8993996A__878CA4B0813C95120A256C74CF1AC98FA54BEF64, StartTime=2016.05.09-23.28.42, HierarchicalDDC=, DataSize=160312, Duration=0.146650, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F3381B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.42, Duration=61.838951, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__01321D8B21E5D0A85EC48E21B3D8F7F19D06DE93, StartTime=2016.05.09-23.28.42, HierarchicalDDC=, DataSize=262407, Duration=0.401922, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdBEE5961640DD81A56BEE10BC9949A717_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__AD1BC94ECBBDFD5E670CBBCE622C4859BC9C723F, StartTime=2016.05.09-23.28.42, HierarchicalDDC=, DataSize=65799, Duration=0.103131, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__C4DE7BF8DB51CEE3D64DD74C78B110CB4BE17EF9, StartTime=2016.05.09-23.28.42, HierarchicalDDC=, DataSize=16647, Duration=0.052661, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdBEE5961640DD81A56BEE10BC9949A717_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__5AB65D05EF596D533648DE0108FEE2C7BA407CF7, StartTime=2016.05.09-23.28.42, HierarchicalDDC=, DataSize=6899, Duration=0.042789, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_RGBA16F_B138149959E96AA845BD6F4F24B925C7X_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000040000000200000001010100000000000101000000040000803F0002000000000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.42, Duration=14640.485352, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_RGBA16F_B138149959E96AA845BD6F4F24B92__69C7B3FD61BE1801E932D86FDC33A033B3526738, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=16777840, Duration=38.069729, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5C9F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.56, Duration=15.567348, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__0DEE01AFDCD63EDCE050864E9B2048808D3D7B82, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=33031, Duration=0.055958, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__60C01A3D2DE5A93AFF7EF8C568AEB262FC04DA19, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=8455, Duration=0.044983, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdE90CC9F34D76A06895BA9180ED1EBED6_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__581C558B12F92DA8D70F4F628DF65CDCF5AECBC8, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=3860, Duration=0.025235, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E804_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.56, Duration=5.477302, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__A1D8A03E2549AA9BBB14D25D58C22DB5DF625B64, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=16647, Duration=0.043884, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdBEE5961640DD81A56BEE10BC9949A717_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__AFBD176B0024CACEDD89C5FD04DBA1FA2128794D, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=6309, Duration=0.032548, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_14, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC4F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.56, Duration=51.745609, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__75915B35B64D0748F43AA1CFEFA6A33478BFF803, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=65799, Duration=0.115566, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__2A64CDF4F42A58D87EDA3946300B893AACC7FC54, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=16647, Duration=0.059977, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__47F0ABDC498713ED6F98BFB13D1B509E584A2F29, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=6604, Duration=0.026699, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_15, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.56, Duration=10.616314, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__BCAC7ABACC5B5D4A6DC129FB4BB94D4A3E089E06, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=262405, Duration=0.199310, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdBEE5961640DD81A56BEE10BC9949A717_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__D20BFAB030FB8CFC04A0587A92BEDA874205D3CA, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=65797, Duration=0.092160, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__026BD0D5597652AED9C7644143EE6AB59FB39BB5, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=22958, Duration=0.063635, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_16, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_32B187104DAC02E7FCF8EB9B05E94410_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.56, Duration=1.289874, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_32B187104DAC02E7FCF8EB9B05E94__3F57941ACE0FA4BD724E8E4557C0A52A0A5DA51F, StartTime=2016.05.09-23.28.56, HierarchicalDDC=, DataSize=3270, Duration=0.034377, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_17, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBABC8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.57, Duration=1261.340698, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdE90CC9F34D76A06895BA9180ED1EBED6_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__948ECD6FE901F74B4A2F247027DC9DCAFDBCD692, StartTime=2016.05.09-23.28.58, HierarchicalDDC=, DataSize=4194569, Duration=7.151536, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__29EEB3628395245A647535BD652E940B87E203BB, StartTime=2016.05.09-23.28.58, HierarchicalDDC=, DataSize=1048841, Duration=1.575131, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A1841A5A48DBDCFF525B3B8EAEBBA__B4077EDD9E35C5D375C5957E85D234439DEBF00E, StartTime=2016.05.09-23.28.58, HierarchicalDDC=, DataSize=262407, Duration=0.271726, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
